Date,Open,High,Low,Close
2020-07-02,1769.6,1779.83,1757.68,1775.14
2020-07-03,1774.77,1777.43,1772.48,1774.79
2020-07-06,1776.31,1787.09,1770.13,1783.56
2020-07-07,1783.91,1797.59,1773.79,1794.26
2020-07-08,1795.27,1818.13,1791.62,1810.12
2020-07-09,1811.3,1816.26,1795.82,1802.82
2020-07-10,1802.13,1810.76,1794.28,1798.31
2020-07-13,1799.01,1813.45,1798.01,1802.71
2020-07-14,1803.19,1811.03,1791.46,1807.53
2020-07-15,1807.8,1814.79,1802.72,1811.31
2020-07-16,1811.9,1813.74,1795.02,1796.63
2020-07-17,1797.3,1812.03,1795.11,1808.9
2020-07-20,1809.58,1820.73,1805.6,1815.4
2020-07-21,1815.89,1843.89,1815.57,1841.58
2020-07-22,1842.2,1872.64,1840.75,1871.75
2020-07-23,1872.39,1898.4,1862.8,1886.86
2020-07-24,1887.34,1906.54,1881.56,1900.97
2020-07-27,1899.99,1945.71,1899.73,1941.88
2020-07-28,1942.64,1981.22,1907.7,1958.93
2020-07-29,1959.6,1980.8,1944.97,1970.37
2020-07-30,1970.9,1971.87,1939.67,1959.5
2020-07-31,1960.51,1980.45,1955.4,1974.69
2020-08-03,1980.98,1985.28,1960.4,1976.7
2020-08-04,1976.99,2019.88,1968.5,2018.07
2020-08-05,2018.98,2055.68,2009.77,2039.4
2020-08-06,2040.4,2069.77,2034.71,2063.19
2020-08-07,2065.11,2073.41,2015.55,2034.62
2020-08-10,2034.19,2050.01,2019.41,2027.26
2020-08-11,2027.34,2032.19,1901.69,1911.25
2020-08-12,1912.0,1949.45,1864.3,1917.82
2020-08-13,1920.9,1966.43,1912.93,1953.03
2020-08-14,1953.7,1962.84,1932.65,1943.76
2020-08-17,1947.04,1990.65,1929.74,1985.53
2020-08-18,1985.89,2015.45,1977.84,2000.95
2020-08-19,2001.19,2006.68,1924.82,1929.54
2020-08-20,1929.53,1955.44,1925.12,1942.6
2020-08-21,1947.44,1956.08,1911.65,1939.4
2020-08-24,1939.24,1961.89,1924.01,1932.45
2020-08-25,1933.06,1937.69,1914.42,1927.94
2020-08-26,1929.07,1954.98,1902.77,1953.45
